district,date,actual,forecast,lower_ci,upper_ci
BEED,2020-08-01,2907,3848.0,2908.925295256666,4787.074704743334
BEED,2020-09-01,3136,3848.0,2763.649932854535,4932.350067145465
BEED,2020-10-01,3117,3848.0,2635.6597692281402,5060.34023077186
BEED,2020-11-01,2842,3848.0,2519.947816470467,5176.052183529533
BEED,2020-12-01,3110,3848.0,2413.539694098455,5282.460305901544
BEED,2021-01-01,3208,3848.0,2314.4974286827073,5381.502571317293
BEED,2021-02-01,3318,3848.0,2221.474899281803,5474.525100718197
BEED,2021-03-01,3225,3848.0,2133.4920034319075,5562.5079965680925
BHANDARA,2020-06-01,1228,1390.0,1168.5812295724315,1611.4187704275685
BHANDARA,2020-07-01,1165,1390.0,1076.8665718973584,1703.1334281026416
BHANDARA,2020-08-01,1101,1390.0,1006.4914398700232,1773.5085601299768
BHANDARA,2020-09-01,1151,1390.0,947.1624591448642,1832.8375408551358
BHANDARA,2020-10-01,1152,1390.0,894.8925778295381,1885.1074221704619
BHANDARA,2020-11-01,1031,1390.0,847.6369929780093,1932.3630070219906
BHANDARA,2020-12-01,1279,1390.0,804.1809978469529,1975.8190021530472
BHANDARA,2021-01-01,1355,1390.0,763.7331437947178,2016.2668562052822
BHANDARA,2021-02-01,1557,1390.0,725.7436887172968,2054.2563112827033
BHANDARA,2021-03-01,1591,1390.0,689.8123687349515,2090.1876312650484
BULDHANA,2020-06-01,1522,1469.2933150620872,1104.6714477646083,1833.9151823595662
BULDHANA,2020-07-01,1439,1469.2933150620872,1040.60575452592,1897.9808755982544
BULDHANA,2020-08-01,1345,1469.2933150620872,984.9412292759314,1953.645400848243
BULDHANA,2020-09-01,1602,1469.2933150620872,935.0453750077062,2003.5412551164682
BULDHANA,2020-10-01,1459,1469.2933150620872,889.4271409328326,2049.159489191342
BULDHANA,2020-11-01,1389,1469.2933150620872,847.1448614384775,2091.441768685697
BULDHANA,2020-12-01,1711,1469.2933150620872,807.5587634530615,2131.027866671113
BULDHANA,2021-01-01,1734,1469.2933150620872,770.2106767136955,2168.375953410479
BULDHANA,2021-02-01,1818,1469.2933150620872,734.7591404404445,2203.82748968373
BULDHANA,2021-03-01,2057,1469.2933150620872,700.9415908276403,2237.6450392965344
CHANDRAPUR,2020-06-01,2334,2593.0,1941.1753714561642,3244.824628543836
CHANDRAPUR,2020-07-01,2279,2593.0,1671.180770024503,3514.819229975497
CHANDRAPUR,2020-08-01,2103,2593.0,1464.0066257373662,3721.9933742626336
CHANDRAPUR,2020-09-01,2030,2593.0,1289.350742912329,3896.649257087671
CHANDRAPUR,2020-10-01,2073,2593.0,1135.475821167434,4050.5241788325657
CHANDRAPUR,2020-11-01,1897,2593.0,996.3622582884198,4189.63774171158
CHANDRAPUR,2020-12-01,2498,2593.0,868.4341344459574,4317.565865554043
CHANDRAPUR,2021-01-01,2799,2593.0,749.361540049006,4436.638459950994
CHANDRAPUR,2021-02-01,3217,2593.0,637.5261143684936,4548.473885631506
CHANDRAPUR,2021-03-01,3581,2593.0,531.7495388082766,4654.250461191723
DHULE,2020-06-01,3508,3579.532079021523,2993.353055303857,4165.711102739188
DHULE,2020-07-01,3317,3563.2475054834813,2889.726476395147,4236.7685345718155
DHULE,2020-08-01,2764,3513.505535403645,2762.7357268725464,4264.275343934743
DHULE,2020-09-01,3344,3551.4041792739963,2730.6240417344507,4372.184316813542
DHULE,2020-10-01,3020,3509.3603712303247,2624.089360207684,4394.6313822529655
DHULE,2020-11-01,2908,3494.8522966237056,2549.4796231585465,4440.224970088864
DHULE,2020-12-01,3477,3529.790108941686,2527.914757157705,4531.665460725667
DHULE,2021-01-01,3554,3526.5331942340777,2471.175932786615,4581.8904556815405
DHULE,2021-02-01,3873,3488.0423840532517,2381.785778166759,4594.298989939744
DHULE,2021-03-01,3478,3463.7635653238076,2308.8486737213507,4618.6784569262645
GADCHIROLI,2020-06-01,1665,1949.742714764847,1766.9828698106753,2132.502559719019
GADCHIROLI,2020-07-01,1437,1710.4199977277206,1460.39373012129,1960.4462653341511
GADCHIROLI,2020-08-01,1218,1432.2666195760446,1135.8096854788096,1728.7235536732796
GADCHIROLI,2020-09-01,1327,1439.7241169996905,1108.0586799545267,1771.3895540448543
GADCHIROLI,2020-10-01,1197,1385.454688075405,1025.9031675518227,1745.0062085989875
GADCHIROLI,2020-11-01,1211,1362.3342539190362,980.1335202537035,1744.534987584369
GADCHIROLI,2020-12-01,1363,1441.166087336757,1040.2669333422407,1842.0652413312735
GADCHIROLI,2021-01-01,1302,1484.2986588530002,1067.7863226504041,1900.8109950555963
GADCHIROLI,2021-02-01,1566,1560.6181496341223,1130.960091952587,1990.2762073156578
GADCHIROLI,2021-03-01,1609,1670.378088257947,1229.5820497592588,2111.174126756635
GONDIA,2020-06-01,1556,705.3597688724304,-738.6006348743771,2149.320172619238
GONDIA,2020-07-01,1454,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2020-08-01,1331,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2020-09-01,1309,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2020-10-01,1341,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2020-11-01,1444,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2020-12-01,1405,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2021-01-01,1340,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2021-02-01,1508,0.0,-2016.3804681285014,2016.3804681285014
GONDIA,2021-03-01,1746,0.0,-2016.3804681285014,2016.3804681285014
HINGOLI,2020-06-01,1667,1698.0,1350.5080035543929,2045.4919964456071
HINGOLI,2020-07-01,1514,1698.0,1206.572105810519,2189.4278941894813
HINGOLI,2020-08-01,1569,1698.0,1096.1262069326644,2299.8737930673356
HINGOLI,2020-09-01,1745,1698.0,1003.0160071087853,2392.9839928912147
HINGOLI,2020-10-01,1749,1698.0,920.9842743105065,2475.0157256894936
HINGOLI,2020-11-01,1616,1698.0,846.8219190072361,2549.178080992764
HINGOLI,2020-12-01,1687,1698.0,778.6225948195821,2617.377405180418
HINGOLI,2021-01-01,1732,1698.0,715.1442116210371,2680.8557883789626
HINGOLI,2021-02-01,1870,1698.0,655.5240106631777,2740.4759893368223
HINGOLI,2021-03-01,1716,1698.0,599.1338225527456,2796.8661774472544
JALGAON,2020-06-01,5556,5512.0,4747.333979434552,6276.666020565448
JALGAON,2020-07-01,4641,5512.0,4430.598943030479,6593.401056969521
JALGAON,2020-08-01,4335,5512.0,4187.559601559135,6836.440398440865
JALGAON,2020-09-01,4806,5512.0,3982.667958869103,7041.332041130897
JALGAON,2020-10-01,4731,5512.0,3802.154797931405,7221.8452020685945
JALGAON,2020-11-01,4652,5512.0,3638.9584259701032,7385.041574029897
JALGAON,2020-12-01,5392,5512.0,3488.8838735624213,7535.116126437579
JALGAON,2021-01-01,5235,5512.0,3349.1978860609574,7674.802113939042
JALGAON,2021-02-01,5794,5512.0,3218.0019383036542,7805.998061696346
JALGAON,2021-03-01,5061,5512.0,3093.9137256760278,7930.086274323972
JALNA,2020-06-01,1935,809.7435054303426,-880.970337587222,2500.457348447907
JALNA,2020-07-01,2128,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2020-08-01,1604,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2020-09-01,1731,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2020-10-01,1698,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2020-11-01,1869,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2020-12-01,2109,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2021-01-01,2118,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2021-02-01,1948,0.0,-2360.9530792369856,2360.9530792369856
JALNA,2021-03-01,1905,0.0,-2360.9530792369856,2360.9530792369856
KOLHAPUR,2020-06-01,3692,3590.2727142072654,3100.8522347741223,4079.6931936404085
KOLHAPUR,2020-07-01,3357,3590.2727142072654,3010.674194488788,4169.871233925743
KOLHAPUR,2020-08-01,3163,3590.2727142072654,2932.7497241672727,4247.795704247258
KOLHAPUR,2020-09-01,3576,3590.2727142072654,2863.12862889651,4317.4167995180205
KOLHAPUR,2020-10-01,3711,3590.2727142072654,2799.614406735765,4380.931021678765
KOLHAPUR,2020-11-01,3480,3590.2727142072654,2740.8360788159134,4439.709349598617
KOLHAPUR,2020-12-01,4336,3590.2727142072654,2685.869797407312,4494.675631007219
KOLHAPUR,2021-01-01,4042,3590.2727142072654,2634.05795052311,4546.487477891421
KOLHAPUR,2021-02-01,4038,3590.2727142072654,2584.9127226326914,4595.63270578184
KOLHAPUR,2021-03-01,3954,3590.2727142072654,2538.060401491761,4642.48502692277
LATUR,2020-06-01,3784,3792.1560216186745,3238.229252625613,4346.082790611736
LATUR,2020-07-01,3500,3800.3628266029114,3084.0301678952096,4516.695485310614
LATUR,2020-08-01,3274,3826.1665073494764,2977.974258825949,4674.358755873004
LATUR,2020-09-01,3634,3849.592404830166,2887.444961358247,4811.739848302084
LATUR,2020-10-01,3408,3893.5783988130433,2829.6116157301776,4957.545181895909
LATUR,2020-11-01,3363,3909.9152253916286,2753.0561466668887,5066.7743041163685
LATUR,2020-12-01,3601,3895.874915510568,2653.0472763940224,5138.702554627113
LATUR,2021-01-01,3699,3980.4632698468,2657.240630576991,5303.685909116609
LATUR,2021-02-01,3954,3953.982767007385,2554.9774898192286,5352.988044195541
LATUR,2021-03-01,3892,3841.2598890100558,2370.371408287013,5312.148369733099
MUMBAI,2020-06-01,1485,929.1860876151771,-1673.7973498290226,3532.169525059377
MUMBAI,2020-07-01,1525,907.872539871293,-2731.3276979601387,4547.072777702725
MUMBAI,2020-08-01,1497,887.0478794703057,-3519.6176656924927,5293.713424633104
MUMBAI,2020-09-01,1472,866.7008923789197,-4164.560764777251,5897.962549535091
MUMBAI,2020-10-01,1756,846.8206217898539,-4715.656841916875,6409.298085496584
MUMBAI,2020-11-01,2196,827.3963622216256,-5198.672803577127,6853.465528020379
MUMBAI,2020-12-01,2738,808.4176537536722,-5629.146294954628,7245.981602461972
MUMBAI,2021-01-01,2397,789.8742763937073,-6017.354546473224,7597.103099260638
MUMBAI,2021-02-01,2276,771.7562445742776,-6370.544589241592,7914.057078390148
MUMBAI,2021-03-01,2515,754.0538017755571,-6694.072793141822,8202.180396692936
NAGPUR,2020-06-01,5763,5399.654260036461,4079.147565077559,6720.160954995363
NAGPUR,2020-07-01,5816,5399.654260036461,3876.2156592120705,6923.092860860852
NAGPUR,2020-08-01,4461,5399.654260036461,3697.3051743515443,7102.003345721378
NAGPUR,2020-09-01,4485,5399.654260036461,3535.4869798325713,7263.821540240351
NAGPUR,2020-10-01,4837,5399.654260036461,3386.6349139711374,7412.673606101785
NAGPUR,2020-11-01,5721,5399.654260036461,3248.0562198152493,7551.252300257673
NAGPUR,2020-12-01,6553,5399.654260036461,3117.8783363896505,7681.430183683271
NAGPUR,2021-01-01,6620,5399.654260036461,2994.7366720961277,7804.571847976795
NAGPUR,2021-02-01,6722,5399.654260036461,2877.600366116816,7921.708153956106
NAGPUR,2021-03-01,8096,5399.654260036461,2765.6681015903423,8033.64041848258
NANDED,2020-06-01,4882,4607.0,3499.3621966944993,5714.637803305501
NANDED,2020-07-01,4668,4607.0,3040.563596368219,6173.436403631781
NANDED,2020-08-01,4358,4607.0,2688.515048290891,6525.484951709109
NANDED,2020-09-01,5176,4607.0,2391.7243933889995,6822.2756066110005
NANDED,2020-10-01,4553,4607.0,2130.2465773603603,7083.75342263964
NANDED,2020-11-01,4475,4607.0,1893.8525620842856,7320.147437915714
NANDED,2020-12-01,4906,4607.0,1676.4658297197698,7537.534170280231
NANDED,2021-01-01,5001,4607.0,1474.1271927364378,7739.872807263562
NANDED,2021-02-01,5274,4607.0,1284.0865900834992,7929.9134099165
NANDED,2021-03-01,4873,4607.0,1104.3417190490395,8109.65828095096
