district,rmse,r_squared,params,differencing
NASHIK,84.92595881613792,0.34242693196239515,"{'const': 549.9343999911197, 'lag_1': 0.595312128527685, 'lag_2': 0.04002763054183389, 'lag_3': -0.18720115868340614}",0
OSMANABAD,37.49238555975079,0.1056512901695219,"{'const': 140.50175967047838, 'lag_1': 0.3122266690169698, 'lag_2': -0.048878681530214824, 'lag_3': -0.08434108953955854}",0
PALGHAR,132.49225746670035,0.257294689597099,"{'const': 319.7667412683377, 'lag_1': 0.25823357458911667, 'lag_2': 0.358279347244994, 'lag_3': -0.02277989992331335}",0
PARBHANI,66.9243590636046,0.47220476081601104,"{'const': 74.8885789938117, 'lag_1': 0.7878083813700216, 'lag_2': -0.26672684842778727, 'lag_3': 0.10167355664101263}",0
PUNE,400.30042597580433,0.2000747771809891,"{'const': 1412.8823002535712, 'lag_1': 0.35726650664039317, 'lag_2': 0.13151410696545518, 'lag_3': -0.2541891300122097}",0
RAIGAD,67.72745747839092,0.2689624459059051,"{'const': 293.9562698032447, 'lag_1': 0.4308641418049814, 'lag_2': 0.09279959831200546, 'lag_3': -0.3390206463642672}",0
RATNAGIRI,215.1280655382901,0.2424955551088046,"{'const': 6.5165514346526265, 'lag_1': -0.20456604415860616, 'lag_2': -0.753745690715582, 'lag_3': -0.21604580843101095}",1
SANGLI,77.7903826196323,0.3931491793191536,"{'const': 153.97027447607223, 'lag_1': 0.34215659001524523, 'lag_2': 0.2365755360191013, 'lag_3': 0.08147723358644937}",0
SATARA,124.31249730623536,0.19939884908618044,"{'const': 293.14868235705006, 'lag_1': 0.48926738042148715, 'lag_2': -0.3030849787192685, 'lag_3': 0.16958764968215462}",0
SINDHUDURG,21.003867180120068,0.043331415171268484,"{'const': 103.51777200728702, 'lag_1': 0.10481067363089236, 'lag_2': 0.14559613185453202, 'lag_3': -0.11413445921248322}",0
SOLAPUR,98.27038250083335,0.36582238986607185,"{'const': 195.6265490535493, 'lag_1': 0.5693792270371024, 'lag_2': 0.036051094434561226, 'lag_3': 0.027227221703519544}",0
THANE,242.1274463101242,0.05825281269566385,"{'const': -11.400555152730387, 'lag_1': -0.10770323303541052, 'lag_2': -0.20135310523862937, 'lag_3': 0.04699203908567766}",1
WARDHA,50.59160309646308,0.2833907380964775,"{'const': 138.75327492388553, 'lag_1': 0.5238977107852658, 'lag_2': 0.032312828026996296, 'lag_3': -0.1937113159652716}",0
WASHIM,21.184195659622144,0.293018896096193,"{'const': 52.73763776336138, 'lag_1': 0.4398900348676011, 'lag_2': 0.0492633594306536, 'lag_3': 0.07638451690699746}",0
YAVATMAL,24.900823602469845,0.49880344173333646,"{'const': 52.08814483318436, 'lag_1': 0.6987588394168915, 'lag_2': -0.052991355950625, 'lag_3': 0.10116857236218527}",0
MUMBAI SUBURBAN,124.14346969880108,0.4135197330474526,"{'const': 1320.1656744794452, 'lag_1': 0.25494858880984017, 'lag_2': -0.3471155473534818, 'lag_3': -0.5393147923706163}",0
