district,rmse,r_squared,coefficients,intercept,best_alpha,alphas_tried,differencing
GONDIA,139.4830316472612,0.38743097476008215,"[0.2947298679586271, 0.1482579831214125, -0.029301201768907353, -0.10151447060081965, -0.3563732807822346]",1743.9148108450888,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
HINGOLI,126.52236511681276,0.14923332608134043,"[0.2055002818502218, -0.308281159843109, 0.11509548594020692, -0.2419485719442126, 0.17894793492181482]",2052.1443253088414,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
JALGAON,614.9315656864449,0.17395830667651968,"[0.35523434174671625, -0.07507545237173373, 0.11398298170454516, -0.06136466226963597, 0.21242651892844888]",3116.521455780863,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
JALNA,167.77057857643192,0.2509903444357704,"[0.40864797640818007, -0.17906500632562683, -0.050296438524693954, 0.15245837170870372, -0.35010401591517065]",3634.4544404269295,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
KOLHAPUR,406.2646048502399,0.17724639142065157,"[0.37156171715932484, -0.2275678778668718, 0.0857781744423901, -0.17981184272627077, 0.22803972109692247]",3719.469122127256,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
LATUR,346.76987565281803,0.15026378372680793,"[0.06738719292665066, -0.370824744932853, 0.007847094382572204, 0.01939843661156604, -0.000794926785762231]",4985.815877949254,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
MUMBAI,3399.6134797068016,0.18793653137673794,"[-0.05758999421799316, -0.04052168035969531, -0.46326632212723984, -0.11125028942768331, -0.2152784941132349]",-923.7989100309021,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",1
NAGPUR,1003.8218185114542,0.13789086668701878,"[0.36833228342659224, -0.0042175115727240125, -0.07168195161221884, 0.11703918287965957, -0.051729110790622805]",4518.701512967554,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
NANDED,450.1595046346303,0.2844090420490706,"[0.40409133739950714, -0.39176578583198834, 0.001341671357904811, -0.2275635675444608, 0.0533624478181831]",6487.101682047245,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
NANDURBAR,211.69745083213832,0.43847488141337965,"[0.4635368569743215, 0.17501786615591547, -0.01394277511348539, -0.2335891764229338, -0.21614453784434132]",2611.5682918553716,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
NASHIK,548.4017872043918,0.2398350747384096,"[0.42766022578794877, -0.03353177110353303, 0.005018391488371264, -0.030952728263805608, 0.22890227312786862]",4343.158571434622,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
OSMANABAD,202.6520657564468,0.19188654833698915,"[0.30488067134409985, -0.11757275672175688, 0.012746318186640331, -0.04317423489371274, -0.3272337269540195]",2861.8927756014164,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
PALGHAR,502.69446884014695,0.20509708292335882,"[0.33258292534060024, 0.25469796849420095, -0.1145865858825516, -0.024370301680089117, 0.02208699781844463]",2760.2974637067236,0.001,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
PARBHANI,346.3025618800626,0.11997973970612663,"[0.31506802834366826, -0.031525708651885774, -0.06304003998490872, 0.07211295914984109, -0.17646327563839936]",2717.130533779657,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
PUNE,1535.0104981653403,0.3123294974696419,"[0.3495019421320552, -0.036527200269245885, -0.23318787286652057, 0.17182148754269158, 0.24746672081931237]",8182.094888985932,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
RAIGAD,1186.1241699098862,0.2855216513799229,"[-0.5472942649006953, -0.3132848617425714, -0.31035312919651786, -0.035018184674396664, -0.07347108320050554]",37.11122485621059,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",1
RATNAGIRI,200.23377841460555,0.3138568027670785,"[0.6402405158931259, -0.08296743127602423, -0.0019185495755998476, 0.0125685124282472, -0.09832687279051737]",799.3068552302384,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
SANGLI,283.84604916368966,0.31822772014128387,"[0.5535725707302723, -0.32940244156709464, 0.4383378112140767, -0.25228380153483904, 0.25033676506606534]",1420.550485214213,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
SATARA,521.568810094783,0.08381764545595194,"[0.15588363762571317, -0.2285892957926577, 0.051655177913257716, -0.036395652520949735, 0.194778879627748]",3491.153840119087,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
