district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
GONDIA,9.066511484996267,7.28815440417243,7.087232162568203,8.046934083745693,7.195237392107006,6.204738556583634,10.26214784393159,7.2367400656135965,6.6483236360390405,6.9020622006513035,5.755539416359253,6.626647062773362,7.756542639788482,8.463969776118947,6.541359598852649,5.783593152718538,6.080568865670778,10.277773474433596,6.582258414788898
HINGOLI,5.555481008645725,4.328047853435127,3.7213331628475252,6.77617165522817,3.9915145395367237,5.123972525730836,4.7564257666070855,3.597138606627201,4.033122949212023,3.872097789240038,3.6634992151795327,4.177311180733778,4.536266290265906,8.820629898432896,4.796460500549685,4.163082967272972,6.808063016620733,4.430381719257294,6.321506561812601
JALGAON,17.57333843841407,13.283692052499486,10.481542515947188,11.315724981578093,10.10789348441831,14.774289134995444,15.106551068237717,11.842224197460304,10.218156587721547,15.502466727033182,9.917006240916459,10.06488156889388,9.698700097886023,11.470660679831,12.085697298572438,10.171482934368925,8.68259614742034,15.110049297853116,15.77623317766751
JALNA,7.072441364422355,5.773351506796091,6.3262745856903315,6.707302658343164,6.247413290456084,6.123819614151503,5.139343117085449,6.161636138807717,6.1449486847244525,5.5771186468057765,6.007966308493188,6.342172624986957,5.855421472594095,8.89443013826768,6.264405895083933,6.195857169729939,5.901063222974394,5.139870475688574,7.172411544217685
KOLHAPUR,12.454679877933774,7.4605125040099205,7.7481029140685775,12.954260387297678,7.546380161872608,11.677547782913255,7.723258091317918,9.986999012573149,7.74751620072424,11.80404995904542,7.570896903267976,7.747126452629595,8.692777885685226,13.800605525015975,10.48940756254458,8.065966984300394,13.695313448572502,7.730465007354542,11.54222491273959
LATUR,20.804432326951684,15.071106081883562,19.37941807412017,16.556819075158042,16.987755229231798,15.220893352377331,16.355684833994754,15.062114485123692,19.36765207909316,15.129313645078954,15.039492492173277,19.4860942481188,16.513532999281924,11.768390796669244,15.59675651822804,21.58879277988995,28.18835212146243,15.14982461782473,15.390190151156206
MUMBAI,,28.62212071704857,14.42196546221449,39.17686131957723,22.592465145945678,25.81476639229743,29.320890820188108,21.793617803841087,18.230852396942154,15.560940111151934,15.630040641508442,23.10473056055943,,34.57111608952653,18.04622790686926,16.00293923285891,79.27641204817108,45.29752244276626,42.14713665939067
MUMBAI SUBURBAN,,21.664097597657456,5.4302912598878885,2.828427124746189,2.107363842707282,4.140000000000001,21.663955569781173,12.670304607868301,8.21811688260786,,,2.1376910014275072,,,11.716761497956677,,,22.12593714185195,
NAGPUR,18.3088281405719,21.103559904305754,15.311633132081875,20.340809995483486,16.4716685511359,12.726806573353567,16.879134964718116,14.943679561136948,17.521414944950376,20.138103432958708,16.82228532372733,16.87896902685708,14.066841711514545,26.710419852583875,15.630633117908777,17.202744301854455,19.742797713486237,20.622659339988367,11.932834236007777
NANDED,,9.886469684667677,16.823653623038012,34.37198202239941,13.311280126009486,23.861741519288426,9.888447631855678,17.052798216338008,13.474848191763003,9.95364079888758,12.52421485889574,13.816516881654751,,17.021768405931795,17.932024115779257,17.316581730632766,9.886469685153433,10.078453993293454,23.564271943026668
