district,rmse,r_squared,best_params,differencing,best_iteration,feature_importances
PARBHANI,80.61567840964763,0.9004011944116554,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 0.8}",0,51,"[0.5717993418114067, 0.26164859160944437, 0.1665520665791489]"
PUNE,243.82435430035676,0.7456771555501914,"{'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",0,11,"[0.5828253824319575, 0.17911418122066147, 0.23806043634738105]"
RAIGAD,87.69342942060096,0.9173644048702587,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0,59,"[0.47753746141713127, 0.1234334210736659, 0.3990291175092028]"
RATNAGIRI,219.51644844848917,0.152834926027682,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",1,11,"[0.14954647455068584, 0.550903283689297, 0.29955024176001716]"
SANGLI,95.47305290600158,0.8233012616465438,"{'learning_rate': 0.05, 'max_depth': 7, 'subsample': 0.8}",0,26,"[0.5181809064582269, 0.24514996200497102, 0.23666913153680205]"
SATARA,133.5582369235398,0.3715503775841965,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,34,"[0.4511623924420045, 0.27777057703167884, 0.2710670305263166]"
SINDHUDURG,21.864173980585395,0.07988483802454527,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",0,11,"[0.31817175126013514, 0.282554584124757, 0.39927366461510794]"
SOLAPUR,103.58562680100798,0.5611891632449693,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0,12,"[0.4892127792642342, 0.4463220289038346, 0.06446519183193122]"
THANE,281.5715227223398,0.5255044364688612,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",1,48,"[0.5843667564614208, 0.20518402200848732, 0.21044922153009185]"
WARDHA,57.848776053452895,0.6034036586267586,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0,11,"[0.49924749930032375, 0.318982441885526, 0.18177005881415023]"
WASHIM,20.45337636347379,0.18444971362773954,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.8}",0,15,"[0.5857486481073928, 0.18820290598649697, 0.22604844590611023]"
YAVATMAL,36.51473265325193,0.931758585855858,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0,70,"[0.5576741882907269, 0.3091787577017608, 0.1331470540075124]"
MUMBAI SUBURBAN,179.41316142487375,0.39963673353881113,"{'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0,16,"[0.17223432341679512, 0.09940442906009306, 0.7283612475231118]"
