district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
JALGAON,121.81351379769717,-204.14337427353198,"[0.18029810975594227, 0.2209014035096421, 0.04860945871723049, 0.11079212343228395]","[0.12974726768478778, 0.13097563524890446, 0.13126778907086478, 0.13420311376443295]",136.50778619800732,,148313.70314988028,0,500
JALNA,63.91360787539495,-217.3299301832979,"[0.08003586064731931, 0.03252207070181774, 0.06876243958164618, 0.06721505795230262]","[0.0948751554477688, 0.09471040674163586, 0.0947138932999851, 0.0946386008458363]",197.43558260011372,,1053510.4845658771,0,500
KOLHAPUR,88.20616315124902,-192.40626824941504,"[0.0007705882582171547, 0.000681624385132218, -3.10524576525664e-05, 0.0005672040551130445]","[0.012111949463133452, 0.012111107559612696, 0.012110004854334555, 0.012112435793377547]",377.42420018976577,,23643119.19863637,0,500
LATUR,137.22510410347215,-200.87285766045355,"[0.02728236376464464, 0.006085262362534311, 0.01733356920066883, -0.0030723148316949885]","[0.05109289746667972, 0.05102864762717674, 0.05080524765177438, 0.05066520364776794]",277.28909596663044,,1949953.871240633,0,500
MUMBAI,206.97426952227872,-235.0965618265594,"[-0.001402150853450911, 0.0038623115504848402, 0.0009704331873197185, -0.005144979685181232]","[0.025285670039743833, 0.02528321421919596, 0.025387320526439248, 0.02538488403818342]",-36.45462807482553,,90585553.44644308,1,500
NAGPUR,247.19887066367377,-239.0544457004203,"[0.3720308716474792, 0.3024118485075481, -0.049585174346222866, -0.37482505360585605]","[0.13883143168420867, 0.14912606777054446, 0.14948964546301835, 0.13883279023985054]",609.4857797700395,,354796.895475606,0,500
NANDED,67.095649389793,-201.99002023481796,"[0.4181720884992838, 0.036604037704522946, -0.12145417462721861, -0.16020242402213117]","[0.14192238274458033, 0.142600699666901, 0.14358934254844985, 0.12656817641119475]",320.1054172319797,,68929.39624637237,0,500
NANDURBAR,62.14682453825774,-205.9245101663033,"[0.5977362965150325, 0.07772107053730919, 0.05204596886596885, -0.29279698709940727]","[0.14718736263253712, 0.17117423821382796, 0.17058132353291178, 0.15009240640436006]",254.00107398717103,,43440.5464102433,0,500
NASHIK,77.40944457949628,-220.89163922266422,"[0.4319274117427328, 0.09095268917447394, -0.015182673838923938, -0.3014102117511705]","[0.14294711873173718, 0.15624778175973672, 0.1589304778099157, 0.14378658752766513]",792.6695151647791,,157512.94736560594,0,500
OSMANABAD,37.88360661283228,-165.9209693220796,"[0.15712578654759632, 0.011514435337397648, -0.033708784288684, -0.051977942919062776]","[0.10321253229120052, 0.10437224015352854, 0.10417242105990004, 0.10321790232123451]",155.60387810400792,,40318.06306213756,0,500
PALGHAR,130.48664419790276,-209.79163529060463,"[0.20333970851138838, 0.29990528613993084, 0.06517014136426953, -0.15791928666351734]","[0.13688539061851981, 0.14008995738597302, 0.13942573260740385, 0.141681307668792]",463.4501848451422,,137782.36053916244,0,500
PARBHANI,61.19767799621217,-187.68366007008896,"[0.6671312139072128, -0.15192936365647963, 0.19941535445556652, -0.19316400727609642]","[0.15344038597349335, 0.18042112889707249, 0.18123927383486002, 0.1423164934382665]",93.84186044494146,,12753.874901759036,0,500
PUNE,239.02751354181333,-241.74411542007167,"[0.4430722708133554, 0.2210193321343134, -0.04603990266900069, -0.06021145183104169]","[0.11959462081629492, 0.11824343585468369, 0.11970207573175339, 0.11045931673019338]",784.7693838099217,,621672.2136871559,0,500
RAIGAD,72.50506891725229,-198.44482742341117,"[0.27555428449699754, 0.06456780636047366, -0.19198317068569823, -0.00024121722103326998]","[0.13059404105519234, 0.1365745590682498, 0.13650454703596326, 0.13461235794473886]",310.3573559626468,,92473.40552050101,0,500
RATNAGIRI,218.65455488596513,-175.2075533354381,"[-0.07172534937108183, -0.42225467354895097, -0.010133819566514185, 0.2249462422450254]","[0.18904305286864695, 0.19110118453868782, 0.19789370401390843, 0.1884715134688952]",6.2271085876013546,,16373.435605357232,1,500
SANGLI,82.66366797059703,-208.84111086799783,"[0.18148204597770595, 0.19837384282674492, 0.1007783005963345, 0.004836440163194566]","[0.12339480113155565, 0.12293108711165629, 0.12183769148908716, 0.11772970603283756]",233.14120077653587,,225003.72510185768,0,500
SATARA,127.20561724867484,-194.47844832635238,"[0.21507313134511388, -0.07715577460569356, 0.049451200253781004, -0.03655323251320006]","[0.12198015641638248, 0.12445140629821232, 0.1241604871627445, 0.12144662998056445]",385.7931116247801,,124534.17871074849,0,500
SINDHUDURG,22.228005501840332,-149.64421795618176,"[0.000973693056116794, 0.001279786563893338, -0.0007511772735566216, 0.0007988512034357951]","[0.013934011281025296, 0.013933207809995534, 0.013932336002492763, 0.013934127849285775]",118.83920492578626,,1547914.2246546743,0,500
SOLAPUR,91.20454040329952,-217.03427696901545,"[0.4068536047743018, 0.018872766866519883, 0.010442720233279398, -0.021051303538898447]","[0.13405267690757183, 0.1480696579558825, 0.14468378197758186, 0.13463679068875994]",318.4763968764979,,200317.6973025779,0,500
THANE,262.59854302472775,-225.10606941729287,"[-0.0005617450201543172, -0.0005393128141211658, 0.0005596266693501338, -2.2677253154632484e-05]","[0.011420716993542959, 0.011420530943540367, 0.011417106682103498, 0.011417048367183515]",-18.262686659901885,,251619609.5936949,1,500
WARDHA,50.11359257297614,-179.60908000900633,"[0.3240233453258082, 0.050683159937343916, -0.09400838443323022, -0.10786337556942635]","[0.1344329172925102, 0.140970860626384, 0.14015257859489633, 0.13459475756087572]",181.12284335014573,,29126.696723481746,0,500
WASHIM,21.8587904578894,-181.57395288947913,"[0.43539352167465833, 0.02975752096149019, 0.09243317873541149, -0.12137077203157066]","[0.13962857765432507, 0.13045321800971696, 0.12446923812087901, 0.11973274113198015]",70.97860945893498,,22513.08539883063,0,500
YAVATMAL,25.900866285023056,-194.99554982970892,"[0.5646106934387345, 0.05581319631280372, 0.05251920447186166, 0.0005925521135256018]","[0.14926629211821643, 0.16907432596929411, 0.17295325507767573, 0.1477164076710342]",66.67957142398484,,31249.699875365328,0,500
MUMBAI SUBURBAN,127.33011383350868,-38.36948292649778,"[0.04145388365613513, -0.10246771260009085, -0.4774559426061935, -0.19313043989932843]","[0.26082303717895683, 0.2590727207333168, 0.2622716623345728, 0.31534466675907835]",1417.2947540912032,,91092.81564052304,0,500
