district,date,actual,forecast,residual
DHULE,2020-11-01,3146.0,3111.070936132849,34.929063867150944
DHULE,2020-12-01,3665.0,3186.9289902703995,478.0710097296005
DHULE,2021-01-01,3484.0,3417.445676911152,66.55432308884792
DHULE,2021-02-01,3689.0,3346.951991461765,342.0480085382351
DHULE,2021-03-01,3358.0,3623.999638325883,-265.9996383258831
GADCHIROLI,2020-07-01,1431,1776.5151581023115,-345.5151581023115
GADCHIROLI,2020-08-01,1224,1813.3438444110716,-589.3438444110716
GADCHIROLI,2020-09-01,1361,1783.9863300609018,-422.98633006090176
GADCHIROLI,2020-10-01,1251,1700.3865900098024,-449.3865900098024
GADCHIROLI,2020-11-01,1256,1712.7118876405664,-456.7118876405664
GADCHIROLI,2020-12-01,1632,1745.1256279977567,-113.12562799775674
GADCHIROLI,2021-01-01,1689,1660.681874930954,28.31812506904589
GADCHIROLI,2021-02-01,2016,1705.435585146374,310.564414853626
GADCHIROLI,2021-03-01,2045,1735.52773456146,309.47226543854003
GONDIA,2020-07-01,1703.0,1636.4412603816038,66.5587396183962
GONDIA,2020-08-01,1383.0,1644.3743341605682,-261.3743341605682
GONDIA,2020-09-01,1445.0,1532.4969381872684,-87.49693818726837
GONDIA,2020-10-01,1472.0,1525.9691481540267,-53.9691481540267
GONDIA,2020-11-01,1519.0,1612.4733830168902,-93.47338301689024
GONDIA,2020-12-01,1528.0,1623.9304349810568,-95.9304349810568
GONDIA,2021-01-01,1531.0,1626.9271610019066,-95.9271610019066
GONDIA,2021-02-01,1829.0,1619.2228351893611,209.77716481063885
GONDIA,2021-03-01,2024.0,1757.238039106425,266.76196089357495
HINGOLI,2020-07-01,1886.0,1963.8548719881558,-77.85487198815576
HINGOLI,2020-08-01,1692.0,1973.3267347485405,-281.3267347485405
HINGOLI,2020-09-01,2019.0,1840.204359527232,178.7956404727679
HINGOLI,2020-10-01,1976.0,1948.6514586673811,27.34854133261888
HINGOLI,2020-11-01,1722.0,1845.543079716909,-123.543079716909
