district,date,actual,forecast,lower_ci,upper_ci
AURANGABAD,2020-08-01,6173,6172.460590033352,5091.932548115405,7252.988631951299
AURANGABAD,2020-09-01,6644,6100.852479618072,4877.834417262709,7323.870541973434
AURANGABAD,2020-10-01,6246,6076.148843708919,4756.523313652255,7395.774373765584
AURANGABAD,2020-11-01,5765,6114.859584098564,4718.928188506331,7510.790979690796
AURANGABAD,2020-12-01,6760,6104.094387050432,4619.960755027832,7588.228019073031
AURANGABAD,2021-01-01,6615,6095.48454956891,4531.352992525615,7659.616106612204
AURANGABAD,2021-02-01,7139,6103.804296685616,4467.31518279348,7740.293410577751
AURANGABAD,2021-03-01,6756,6102.693416450629,4394.025127683223,7811.361705218035
BEED,2020-06-01,3954,4852.41418943921,3851.8430674976075,5852.985311380811
BEED,2020-07-01,3821,4824.98431677684,3413.9568352762362,6236.0117982774445
BEED,2020-08-01,3261,4797.709500522457,3074.4291425674783,6520.989858477436
BEED,2020-09-01,3819,4770.588864168541,2786.311088018464,6754.866640318617
BEED,2020-10-01,3751,4743.621536162317,2531.357482113835,6955.885590210799
BEED,2020-11-01,3332,4716.806649877756,2300.180895984113,7133.4324037714
BEED,2020-12-01,4156,4690.143343587714,2087.18670515078,7293.099982024649
BEED,2021-01-01,4018,4663.630760436246,1888.7177607957733,7438.54376007672
BEED,2021-02-01,4267,4637.268048411069,1702.225358761989,7572.310738060149
BEED,2021-03-01,4241,4611.054360316177,1525.8475441350802,7696.2611764972735
BHANDARA,2020-06-01,1341,1459.502766214211,1195.9722801751534,1723.0332522532688
BHANDARA,2020-07-01,1262,1429.0,1156.639414491289,1701.360585508711
BHANDARA,2020-08-01,1185,1232.0,959.639414491289,1504.360585508711
BHANDARA,2020-09-01,1200,1250.0,977.639414491289,1522.360585508711
BHANDARA,2020-10-01,1233,1183.0,910.639414491289,1455.360585508711
BHANDARA,2020-11-01,1093,1251.0,978.639414491289,1523.360585508711
BHANDARA,2020-12-01,1395,1299.0,1026.639414491289,1571.360585508711
BHANDARA,2021-01-01,1416,1488.0,1215.639414491289,1760.360585508711
BHANDARA,2021-02-01,1690,1458.0,1185.639414491289,1730.360585508711
BHANDARA,2021-03-01,1729,1521.0,1248.639414491289,1793.360585508711
BULDHANA,2020-06-01,4320,3231.7083043535804,-1156.8098025503868,7620.226411257548
BULDHANA,2020-07-01,3900,0.0,-6128.228560684422,6128.228560684422
BULDHANA,2020-08-01,3612,0.0,-6128.228560684422,6128.228560684422
BULDHANA,2020-09-01,4073,0.0,-6128.228560684422,6128.228560684422
BULDHANA,2020-10-01,3614,0.0,-6128.228560684422,6128.228560684422
BULDHANA,2020-11-01,3484,0.0,-6128.228560684422,6128.228560684422
BULDHANA,2020-12-01,4289,0.0,-6128.228560684422,6128.228560684422
BULDHANA,2021-01-01,4304,0.0,-6128.228560684422,6128.228560684422
