district,date,actual,forecast_mean,forecast_std
BULDHANA,2020-08-01,3612.0,4091.0332282388586,792.6481401301306
BULDHANA,2020-09-01,4073.0,4067.2637188754375,778.8360331447346
BULDHANA,2020-10-01,3614.0,4179.822447106212,757.8903221824966
BULDHANA,2020-11-01,3484.0,4171.413613972065,724.1399598299819
BULDHANA,2020-12-01,4289.0,4155.753616905867,704.1660575133045
BULDHANA,2021-01-01,4304.0,4245.966300745598,742.5472333809613
BULDHANA,2021-02-01,4508.0,4260.57095750623,748.167635200053
BULDHANA,2021-03-01,4443.0,4220.844473357505,781.3752588148882
CHANDRAPUR,2020-07-01,2316.0,2525.6917030289287,637.4221525090259
CHANDRAPUR,2020-08-01,2209.0,2393.7282686087847,619.6821286940911
CHANDRAPUR,2020-09-01,2247.0,2398.8695875195394,578.8604385127474
CHANDRAPUR,2020-10-01,2187.0,2529.1171318012034,546.6025911997747
CHANDRAPUR,2020-11-01,2220.0,2545.1165668951394,530.3613665531303
CHANDRAPUR,2020-12-01,2940.0,2598.699936978486,526.3189630414925
CHANDRAPUR,2021-01-01,3096.0,2895.270835971335,573.58746176513
CHANDRAPUR,2021-02-01,3083.0,2928.9327211796362,601.0991651653185
CHANDRAPUR,2021-03-01,3033.0,2961.1866663800006,632.0593605612366
DHULE,2020-07-01,3857.0,3769.3557256469694,658.1992462864041
DHULE,2020-08-01,3076.0,3740.998857535166,671.1785171243923
DHULE,2020-09-01,3376.0,3656.71774386502,656.4579451646061
DHULE,2020-10-01,3157.0,3678.062041140467,635.286834065839
DHULE,2020-11-01,3146.0,3675.2612715137143,604.2611591554427
DHULE,2020-12-01,3665.0,3657.964874343947,577.6458862670714
DHULE,2021-01-01,3484.0,3722.645664728069,600.7992814028489
DHULE,2021-02-01,3689.0,3710.8443373800583,601.7731416055951
DHULE,2021-03-01,3358.0,3718.98468994306,620.8964228105731
GADCHIROLI,2020-07-01,1431,1684.9131121681135,199.25657131774437
GADCHIROLI,2020-08-01,1224,1691.350303970395,199.3113226517702
GADCHIROLI,2020-09-01,1361,1693.795022216193,199.54742945481087
GADCHIROLI,2020-10-01,1251,1695.7918370485647,199.6674359943846
GADCHIROLI,2020-11-01,1256,1702.8871252402182,199.08771723070998
