district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
GONDIA,7.087232162568203,-111.58570711197933,"[0.14509699400953616, 0.05175306801620433, 0.050473526166499805, -0.021527838433094998]","[0.10425725239869542, 0.10547458669756635, 0.10474813603996283, 0.1040975342907874]",16.614842049343814,,1844.610889948178,0,500
HINGOLI,3.7213331628475252,-104.82590450895685,"[0.2878290032214991, 0.055117705520150974, 0.05334897847395653, -0.13440480117460601]","[0.13458151258697384, 0.1400382379711064, 0.1398583549640201, 0.13376676995686967]",9.80473287018123,,461.40562173640546,0,500
JALGAON,10.481542515947188,-141.19524007470292,"[0.32393749034030817, 0.07840786685681195, 0.0734536424085476, -0.03859444655829494]","[0.1335236463033284, 0.1398384092691553, 0.13979804569959892, 0.13281728242226784]",18.953918395764163,,3445.456219582776,0,500
JALNA,6.3262745856903315,-124.58190664068668,"[0.0653980741387751, 0.012573098875019865, 0.01661445452672557, 0.012785979310650716]","[0.0723120278047876, 0.07229522347370346, 0.07200617566151778, 0.07186022785000704]",26.528856187128113,,10980.947119020097,0,500
KOLHAPUR,7.748102914068577,-129.44651070774896,"[0.26940173849170357, 0.08297388379240608, 0.17434084832492688, -0.07025017351530471]","[0.13292490326879547, 0.1359769094458528, 0.1358127083281072, 0.13317151769531219]",12.840428262675116,,1815.8537521855021,0,500
LATUR,19.37941807412017,-114.94956447438882,"[0.3970633908470405, -0.270046560288058, 0.18361251030062714, -0.20689684685273307]","[0.15060929282143437, 0.1560099888053007, 0.15890403821005267, 0.1455646612617584]",20.817781980860936,,349.2268634026812,0,500
MUMBAI,14.42196546221449,-159.86067548805826,"[-0.3871752151153364, -0.03250206944848746, 0.06871198677735388, -0.19009597533246608]","[0.14122776854847338, 0.1525913920076086, 0.15932190493886664, 0.14769852410499532]",-4.3153165057334775,,8666.83458098325,1,500
NAGPUR,15.311633132081875,-146.828474568373,"[0.1901678361914057, 0.5904967787997177, 0.06310143133842326, -0.14568039121254162]","[0.15354056720457782, 0.1528906222663192, 0.1756214964679403, 0.1606034287407709]",15.964074525700582,,1612.880957627695,0,500
NANDED,16.823653623038012,-126.82259477575404,"[-0.3419536003887913, -0.1482172542206433, 0.0590453056365694, -0.1938424123291464]","[0.13085549138325858, 0.12712293127975624, 0.12633029328549145, 0.12275175687459976]",-1.852721240602251,,1415.3575370789872,1,500
NANDURBAR,9.280756782223404,-121.50125396314832,"[0.4381663191328681, 0.12749251004229764, 0.1299253318386698, -0.3298579405586975]","[0.12868654347232059, 0.14315033017331305, 0.140060679831602, 0.12482768238008962]",24.698258135956713,,479.49259967079917,0,500
NASHIK,15.865218419074704,-144.06542891445952,"[0.48364950592274264, 0.043136340190653516, -0.1362879710266659, 0.014330933730238832]","[0.1362809562724647, 0.15042405008818677, 0.1504155307400128, 0.14403727075948605]",54.25008365821902,,2174.3225204506516,0,500
OSMANABAD,6.069094881683216,-112.81505143793214,"[0.08054999719357132, 0.08072498623511387, 0.10255105651531361, 0.049088036552067796]","[0.10045816885303374, 0.10070363548170978, 0.10132584974273173, 0.10174362245808226]",13.585010692601454,,2087.4336332532785,0,500
PALGHAR,10.681326660022789,-119.05718732305822,"[-0.03766658319826992, 0.0012592016197642449, -0.025138346151397702, -0.01187072150793773]","[0.0621385278852017, 0.062197547852469205, 0.06208009659385743, 0.06199529186685105]",-0.3459052062256868,,14377.053810462094,1,500
PARBHANI,8.595499858991966,-95.89656891886447,"[0.6316286202945349, 0.053283039067816354, 0.02058317266122217, -0.12784651787393736]","[0.1527481891641121, 0.18320323114517362, 0.18291243636319188, 0.15815636750427042]",4.683864052016347,,84.9300925706618,0,500
PUNE,30.127722475465685,-159.6288977037471,"[-0.5517445947492506, -0.37660785196519614, -0.2258166746884624, 0.21430190725869006]","[0.1540006745809146, 0.171371843075503, 0.1726272401580037, 0.1505699207209075]",-3.446262916065436,,3355.388486161315,1,500
RAIGAD,8.658584566208289,-123.04638550238604,"[0.4427715579243928, 0.3358863871217769, 0.014323653563566185, -0.20848974475705484]","[0.1444206289280269, 0.1578468889452393, 0.1478666715772916, 0.14273077879343185]",10.219946699309748,,488.17778828697845,0,500
RATNAGIRI,5.9793997177547675,-94.55473642369806,"[0.17352542813979432, 0.12146679812832054, -0.18290068037620122, 0.10037430655114832]","[0.1220412966790631, 0.12860274063001062, 0.12931956893329005, 0.1283600186477923]",10.1900367132558,,306.8401526503721,0,500
SANGLI,8.378879808892936,-116.78601159053481,"[0.0004152814211863075, -0.0009423365588148197, -0.0001252302690743255, -0.00016927758666816843]","[0.011328550794957322, 0.01132887539654175, 0.011320006958147243, 0.01131304269309875]",26.93626015592712,,359255.4348944253,0,500
SATARA,6.886838263192489,-116.54907513730825,"[0.09010649656730074, 0.1371422342654188, -0.009311275608428548, 0.014657603898774643]","[0.10541186850819576, 0.10482308368647288, 0.10584239800834641, 0.10578521018129472]",26.614164198023985,,2408.4570645138383,0,500
