district,date,actual,forecast,lower_ci,upper_ci
AMRAVATI,2020-09-01,3483,2212.8922286444044,1658.2823421415956,2767.5021151472133
AMRAVATI,2020-10-01,3505,2198.6696358030044,1642.0181048353202,2755.3211667706887
AMRAVATI,2020-11-01,3484,2190.597785338287,1633.2902363422238,2747.9053343343503
AMRAVATI,2020-12-01,3227,2186.0167099569326,1628.4980229175944,2743.5353969962707
AMRAVATI,2021-01-01,2783,2183.416779279155,1625.8301020225745,2741.0034565357355
AMRAVATI,2021-02-01,2216,2181.941221911826,1624.3326468755224,2739.5497969481294
AMRAVATI,2021-03-01,2626,2181.1037882206547,1623.488160126125,2738.7194163151844
AURANGABAD,2020-06-01,5574,5732.297599559559,5215.235555392721,6249.359643726397
AURANGABAD,2020-07-01,5621,5701.095025894082,5074.13165761668,6328.058394171484
AURANGABAD,2020-08-01,5821,5710.899901416431,4964.15569669113,6457.644106141732
AURANGABAD,2020-09-01,6050,5707.81888684887,4865.552650251102,6550.085123446637
AURANGABAD,2020-10-01,6041,5708.787043022183,4778.6518147745865,6638.922271269779
AURANGABAD,2020-11-01,6010,5708.482816490509,4698.709160206281,6718.256472774738
AURANGABAD,2020-12-01,6373,5708.578414478856,4624.823044856161,6792.333784101551
AURANGABAD,2021-01-01,6136,5708.548374444787,4555.601945587014,6861.494803302561
AURANGABAD,2021-02-01,5864,5708.557814012109,4490.327987378533,6926.787640645684
AURANGABAD,2021-03-01,5897,5708.5548477894,4428.371189334942,6988.738506243858
BEED,2020-06-01,2392,2253.7517329542943,1323.8078983296855,3183.695567578903
BEED,2020-07-01,2942,2175.203148166477,1155.1401603062602,3195.266136026694
BEED,2020-08-01,2934,2139.79458843285,1102.3753094221827,3177.2138674435173
BEED,2020-09-01,2943,2123.8329246320745,1082.9220954039085,3164.7437538602408
BEED,2020-10-01,3112,2116.6376387123532,1075.018730989196,3158.2565464355102
BEED,2020-11-01,2812,2113.394108456815,1071.6313726886965,3155.1568442249336
BEED,2020-12-01,2752,2111.931972186489,1070.1400119042748,3153.7239324687034
BEED,2021-01-01,2275,2111.2728624188667,1069.4749635955861,3153.0707612421475
BEED,2021-02-01,2079,2110.9757453206926,1069.176639745296,3152.7748508960894
BEED,2021-03-01,2382,2110.8418092536454,1069.0424584573043,3152.6411600499864
BHANDARA,2020-06-01,1098,965.0,708.8244921290943,1221.1755078709057
BHANDARA,2020-07-01,1119,965.0,602.71312242115,1327.28687757885
BHANDARA,2020-08-01,1256,965.0,521.2910047128312,1408.7089952871688
BHANDARA,2020-09-01,1297,965.0,452.64898425818933,1477.3510157418107
BHANDARA,2020-10-01,1524,965.0,392.17415023012336,1537.8258497698766
BHANDARA,2020-11-01,1320,965.0,337.5007211179462,1592.4992788820537
BHANDARA,2020-12-01,1448,965.0,287.223314187915,1642.776685812085
