district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LGBM,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
GONDIA,177.63746321684698,126.42602869312616,119.86731248432062,90.37565610974647,115.02215473336724,103.53202158967264,182.9830435540778,126.33418506664037,118.23214999146008,122.58049061895652,139.4830316472612,224.84802675278362,115.00610995678798,137.25268680688916,150.40763944048697,79.3003056480724,112.22854668191815,1389.1856896330585,180.11910051568378,87.9726623051351
HINGOLI,,97.0448349990869,304.9690441657527,751.5339777600817,218.86125050889035,166.53089045279256,97.43948618411632,221.1087129361244,214.88725399365447,116.58236993470251,126.52236511681292,129.50983085407424,219.03454696016144,,219.1338305257941,288.17071547184594,442.5130212872031,97.0448349990869,235.90142802794807,468.2043012143476
JALGAON,,660.905212568338,1315.8148491558836,1407.5842980283494,1167.2591280623992,1307.8911463391064,653.2556470493379,1168.2394249060453,1225.499889619736,1436.4221631395706,614.9315656864449,1556.6694401004768,1167.4539560590529,,909.5645329669072,1212.0861594673079,1356.0295221005033,660.905212568338,777.5958093729082,1483.7650986156661
JALNA,317.7246972131114,302.8147192942956,226.50942332522456,239.3190970406109,219.52896204781743,178.68441418384043,203.2002049211953,268.95208929124937,229.72897210099606,230.2514107529253,167.77057857643192,225.01111550570872,219.58510676505557,259.7587543362088,206.91998114305449,200.80549358908374,219.80071921689114,1846.5552301128498,204.62798966277788,197.75440638283024
KOLHAPUR,,369.75524579885723,320.13036610072754,1282.7219314102258,360.7456004245881,635.1142312083185,370.6408688645377,392.5266363918914,435.57595100137615,381.431798274939,406.2646048502399,407.7945434023838,360.816622713646,,248.81746686299337,666.6704728891345,356.9698094416992,369.75524579885723,371.08173359562824,535.9038193461843
LATUR,,300.53741643061045,563.1700067096828,799.4867383277256,827.7861727930836,655.056103833693,283.5710675792197,605.8931627830806,791.9471251063337,812.8722568143727,346.76987565281786,492.8846785692674,827.8536589845982,,419.5351597641871,608.5591164423143,853.6087986221042,338.42314896324524,239.62480974461792,505.0142207186689
MUMBAI,,1867.108280728306,1281.8973069402489,2058.058746096282,846.8002755278462,1909.1618706698086,1135.7136741820182,808.5845391335648,648.4214767765133,507.62460612222173,3399.6134797068016,6963.11117199351,846.7815399198552,,4863.190676504876,462.2973973160761,2706.6403588772355,1256.8893736751336,1132.6189079757755,2026.8560496716157
MUMBAI SUBURBAN,,572.9275918988549,2220.1543919861033,1256.9377470662578,1672.411352182261,457.22999999999956,274.16105590579565,1326.342914170542,336.4486540808644,,,,1672.4660242819018,,,1715.139966664529,,,1421.5864494589264,
NAGPUR,,1195.0397384401583,1230.9441811005604,3020.323657027054,1471.2582477824528,1221.262773083436,1196.5295096898653,3265.8103763482923,1512.0399616176799,1387.783342744831,1003.8218185114542,932.0572047893311,1471.2892059883272,,1346.9325183290305,1833.9541825371912,1375.2658623770244,1195.0397384401583,1205.756019279509,1851.599073549151
NANDED,449.6528592489235,352.9490048151432,376.7678583451986,403.96634728041687,378.76649333439474,312.4344812794535,325.8671352879805,315.44161865291795,430.6552946827905,302.96326247555237,450.15950463463025,302.4556472104023,378.76786829563775,362.3031342928646,703.6815738734055,330.30283407809725,367.93798314937754,352.9490048151432,345.1035205276486,350.53109548748085
NANDURBAR,,732.7672725681286,1375.567975823936,2104.9705904736734,1472.333941053441,1673.4334713363687,705.8328224623885,1389.8837779604062,1076.6343011559538,1282.039369036136,211.69745083213834,1300.8123043710493,1472.371542378017,,646.9352810862304,1352.8066309158255,1457.4689568917959,,696.3224481409161,1617.3150983839598
NASHIK,,1001.3369063407181,550.8782090108191,698.7189525065402,501.0304837493651,618.1730518206227,1002.1000232827081,515.0458468657373,473.306312170552,552.171541753678,548.4017872043917,482.14604415317405,501.01167984126727,,1435.1847604701788,710.6263160370888,592.6980154562731,,532.7559263274129,915.8121128950746
OSMANABAD,,445.17502176110463,449.430486111548,398.8988952366648,551.726699830602,367.0334712938318,283.8722500159962,270.02931604211403,458.05945558386946,393.4514783853552,202.6520657564468,340.3749612397408,552.0178660213692,,339.0833644740377,426.86928058659373,604.8012194391737,,283.5411944214157,450.5726898156785
PALGHAR,,422.2488602708123,400.0285633254378,866.6619851807595,641.8649815230539,340.7608875811774,389.8508109566395,373.8193730692966,577.4959224964256,394.1271909300162,502.69446884014695,599.1783115017296,641.9809050219192,,941.7989079150042,392.63043358659166,836.8805351900089,,375.3912495428436,412.729114724078
PARBHANI,,168.7566294994066,201.60871740024965,581.7961901121399,247.1780415754602,403.8596646079207,166.8589955992601,465.9158440134352,229.97485622230457,269.3696485446686,346.3025618800626,156.22127216296053,247.22773474121598,,162.16407522469584,363.82563939633104,280.4850138753636,,260.36505652432675,495.0488975247586
PUNE,1082.5970892592934,920.3300779598645,790.0891075210882,993.1631315120948,733.3208103636748,743.111943718591,1010.041153473628,769.4580627367868,800.2296870163354,860.9641064504694,1535.0104981653406,1063.1931967118298,733.3256595838573,698.2788950288282,1081.2388424161154,812.657517192821,898.3227470124682,,876.6911634960651,864.1758210500717
RAIGAD,,1093.1129370103538,1827.9879955378867,1413.6988139019977,1837.8422387205492,1312.106677799368,1087.3790883115234,1235.7250327580364,1934.5346027422413,1113.9819727246738,1186.1241699098862,862.2707732833808,1837.9306452421915,,1071.7930865770813,1109.1441910561741,1757.9920371958885,,1137.4505951555004,919.9150332897278
RATNAGIRI,,112.30931056769401,296.99218059631545,280.22803642845713,372.1992636188678,244.1606855126353,112.73602189533868,269.2894465517698,368.1643713987512,235.89408180928888,200.23377841460555,124.13697554938376,372.19930642077054,,230.20095354779662,236.07634862005506,409.8677892023882,,145.84959058910175,266.61396680539036
SANGLI,,146.79918255903198,311.0052508422347,288.419557683064,312.74135588761186,186.74147907081476,130.44508692987205,491.8211780943493,324.84816308992686,148.41601587005542,283.8460491636897,160.46560541494384,312.85183314465576,,554.3583333669534,468.7517875047399,339.470298368847,,130.45396666093683,303.78382069614537
SATARA,,2111.1539906370563,2156.039635348452,2322.170089265368,2245.341670052472,2127.7041814822173,2111.096059521396,2196.5800277819685,2340.4728410533785,2096.014905096769,521.568810094783,2095.216515178786,2245.512200371346,,2708.4588067886407,2067.6062050645355,2213.6498295669444,,2111.7390311897643,1879.8989842696622
SINDHUDURG,,69.48740893140281,88.31183166818238,65.84371401983583,118.86085859751805,66.18028904691587,69.48740864220126,69.84809803959523,111.73674577667859,115.07400255096775,89.58608773380809,68.83356813529052,119.8879103307813,,132.82425172637738,69.99667142836302,112.09121534488575,,68.55332872229648,61.97337308851171
SOLAPUR,,579.5790432371756,504.56764297258815,537.0860314624126,599.9873505292418,729.6586993854654,579.6254044560106,486.0998360889267,576.0655686229678,689.3086584881021,508.6780719223141,778.4293439263108,600.0384531917181,,843.0037159278379,659.0120233855122,584.8233494018575,,720.3830476135051,700.4252374876127
THANE,,1846.4684941801743,927.378456918864,919.3837660990248,1819.087387191349,992.3558890351675,2235.0723059555507,817.0760347726056,2374.486850072803,999.7421578698296,1678.6551038784135,1097.2292708742395,1819.2206270666247,,1941.0084614977777,1466.3335031068514,2321.63298764034,,1811.8956437866245,1675.490828196091
WARDHA,153.34191895721872,180.97862369594094,175.14794772288417,119.61136569680525,152.63221042138687,150.9061834569928,184.3259465525809,175.9308463773995,154.6127395461878,147.29818678416913,190.1867529077791,213.09806354559623,152.6232606427947,169.1571609807972,139.26171302400303,122.48108446046857,151.14464222782794,,198.06689118198213,155.00470602184234
WASHIM,,161.35488836722612,134.57450951536114,408.01787748890484,160.32835034679766,227.48511234559697,151.47000847715367,156.54843728204025,153.2188539798178,289.0906607811669,176.4870124758366,169.6337694727723,160.44548587754397,,233.2314068144828,179.1986775122407,222.07500486082023,,134.52183705129855,188.45181073495215
YAVATMAL,392.0622996004774,387.2658941681106,337.1230537210495,431.1545130733512,309.8864793167077,297.8510062957465,386.37480002211504,358.54384032156395,309.63304065760263,285.8969589049717,209.95286385871418,376.2229369911656,309.88455756511166,396.38746372255514,411.44643646778434,318.32074649364773,337.21563161922603,,390.09529805517235,354.1008772932777
