district,rmse,log_marginal_likelihood,coefficient_means,coefficient_stds,intercept_mean,intercept_std,effective_params,differencing,n_iter
LATUR,563.1700067096826,-241.8056073662395,"[-0.0013529203558331736, -0.00040470160956030825, -0.0006956233342828304, 0.0002102003908018566]","[0.013271728493739266, 0.013271823776079958, 0.013270960832628893, 0.013271594067811282]",70.62817613203057,,496885289.16742516,1,500
MUMBAI,1281.8973069402489,-293.31032633568526,"[-3.920875643675375e-05, 0.0005943239099627643, -0.0003863827924616318, 0.0005355863678671093]","[0.012354294335581991, 0.01235326946513596, 0.012367733593221396, 0.012368671971201907]",-103.34738252306316,,11877270043.295694,1,500
NAGPUR,1230.9441811005602,-272.1074578542598,"[-0.2743230018280001, -0.18557832148219133, 0.13599956961757967, 0.05806072797192459]","[0.13553686900015208, 0.1402494378087789, 0.14297732921651307, 0.14468015608681015]",85.24181264938505,,8768602.79612732,1,500
NANDED,376.76785834519876,-271.45396934898173,"[0.5394655488375567, 0.008262487498846685, 0.012351342057645653, 0.05289469829667409]","[0.14693708390197308, 0.1633693380396236, 0.15787077853783885, 0.1385111523468748]",1716.484410514563,,2735517.415212291,0,500
NANDURBAR,1375.5679758239357,-241.223893398706,"[-0.3011047904314968, 0.15918270595637454, 0.021965439592747923, -0.03535013446414595]","[0.13470760184092792, 0.14315908802617477, 0.14438941486491916, 0.13690873485596708]",66.82108221737036,,1543506.2245808886,1,500
NASHIK,550.8782090108191,-260.20067241584394,"[0.0005194696817763457, 0.00027869247900143144, -0.0001697346632962788, -0.0007993378457119649]","[0.011904067197420877, 0.01190386812600305, 0.011902538049107141, 0.011905383625279329]",112.81846268606367,,1825030558.1169286,1,500
OSMANABAD,449.4304861115481,-234.42302236516588,"[-0.33728557059304964, -0.47210028604208437, -0.09083045058960632, -0.0009419541736188711]","[0.1547070035667847, 0.1637848707880108, 0.15963820137395301, 0.1525066996769265]",25.669729871983662,,422738.8304200382,1,500
PALGHAR,400.0285633254378,-250.61780423543692,"[-0.0005611520866274108, -0.0007191740947507319, -0.0013822202665778535, 0.0004817493465383139]","[0.014222772317400507, 0.014226398234283226, 0.014235937719213304, 0.014239301620022309]",21.90809792792085,,725960363.7081562,1,500
PARBHANI,201.60871740024965,-214.81209933521606,"[-0.015670141715620343, -0.007627041502659375, -0.022934818905531503, 0.00037019834652396964]","[0.048225267205823215, 0.04812325644001451, 0.04795460848220077, 0.04797920570975761]",15.109422670511194,,7064380.861532105,1,500
PUNE,790.0891075210882,-274.92662276323335,"[0.6312602431706533, -0.39833191593987344, 0.3011319376815821, -0.3080183659951826]","[0.15073970015153448, 0.174306055418333, 0.16971024096199647, 0.14214048823094422]",5242.010052646476,,1401062.8849192664,0,500
RAIGAD,1827.9879955378865,-256.21687991011805,"[-0.22752049515865258, -0.08797424505744648, 0.1951729163796347, -0.12810076733701023]","[0.1251239233962866, 0.12582995794246385, 0.134767374332399, 0.13722204563306872]",-26.19329762250693,,3994216.4272229136,1,500
RATNAGIRI,296.9921805963154,-200.28171109411358,"[-0.3356044935404884, -0.12735684557741575, -0.18252249965243572, 0.05782640590279636]","[0.14163204596217563, 0.14683752770375302, 0.14647639299731174, 0.14256456287084077]",17.036292396619874,,106517.50488459863,1,500
SANGLI,311.00525084223466,-232.26602727647276,"[-0.1290702903985413, -0.0432250870782345, 0.07603891585165143, -0.11503987227543055]","[0.1119265162663729, 0.11437289805522842, 0.11433413892900375, 0.112830284338379]",30.086389297647692,,2115628.409716039,1,500
SATARA,2156.039635348452,-235.45639798936148,"[-0.07269344850728514, -0.0003780579687419775, -0.008782438958623226, -0.042471530150790276]","[0.07974382549466687, 0.07981365728263273, 0.08003629606162355, 0.08002255316134997]",9.90822844864461,,7190580.918573892,1,500
SINDHUDURG,88.31183166818239,-176.06657597646088,"[0.00777431221249118, -0.03916801703616647, -0.07619189775033275, -0.0016650495955189753]","[0.08096318009582673, 0.0810126646126468, 0.0810003852534968, 0.08117240870910021]",8.829282606491507,,212325.02792894936,1,500
SOLAPUR,504.56764297258815,-252.00955926632784,"[-0.15453552230141604, -0.06036218302227285, 0.07314207057498517, -0.1599910733058375]","[0.12000886978992398, 0.12128567162052252, 0.12196380654351531, 0.12083800701970775]",97.16169453728396,,5042881.7560017845,1,500
THANE,927.3784569188641,-274.1342802323674,"[-0.002285954126851118, -0.000570013778102322, -0.003716498876029697, -0.00028300646986017944]","[0.01991271071175874, 0.019902540251823187, 0.019903023956790434, 0.019911376210871218]",132.0370667860697,,1465324632.0508192,1,500
WARDHA,175.1479477228842,-216.65233539557812,"[0.06618262735130617, -0.004822405221734008, -0.02608303319129672, -0.031443300628666994]","[0.07654670146894761, 0.07671074912005561, 0.07648101514321326, 0.07630594829701992]",1387.3231551553424,,1839439.2234652946,0,500
WASHIM,134.57450951536123,-225.99140669497262,"[-0.07911054137102569, -0.2849206142619768, -0.07305318630242777, -0.029854249984233715]","[0.13019349428413166, 0.1306589845139719, 0.12942382013568773, 0.12930596868839042]",28.632054529813544,,773972.5382564524,1,500
YAVATMAL,337.12305372104953,-252.3940131587849,"[0.22966774768749817, 0.18659379553309444, 0.1145828300283448, 0.07672673736533492]","[0.13052287005289992, 0.13333982932146451, 0.13078120763635398, 0.12589585260111844]",1176.9959516279478,,2184171.939444908,0,500
MUMBAI SUBURBAN,2220.1543919861047,-39.70787313648902,"[-0.5932117462261333, 0.3697421682894404, -0.08508026051713077, 0.33014649855368466]","[0.24369439621683497, 0.3627965832852178, 0.18475296739422303, 0.20781875071925995]",700.2298647742884,,511401.6650010406,1,500
