district,date,actual,forecast,model_params
DHULE,2020-06-01,227,301.92672693617357,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2020-07-01,106,357.5451513057499,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2020-08-01,142,384.0011140305329,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2020-09-01,210,396.5853965165712,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2020-10-01,167,402.571350130728,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2020-11-01,356,405.4186829612322,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2020-12-01,294,406.7730710454455,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2021-01-01,398,407.4173115300867,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2021-02-01,333,407.7237567852454,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
DHULE,2021-03-01,368,407.8695233066736,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0A31A450>
GADCHIROLI,2020-06-01,318,295.24486506533856,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2020-07-01,294,311.5920522120393,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2020-08-01,439,324.66980192943265,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2020-09-01,482,335.1320017033736,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2020-10-01,431,343.5017615225474,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2020-11-01,434,350.1975693779032,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2020-12-01,399,355.55421566220133,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2021-01-01,360,359.8395326896506,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
