district,date,actual,forecast_mean,forecast_std
GONDIA,2020-09-01,282,200.77918898854756,85.66840915685138
GONDIA,2020-10-01,335,215.9017381280923,85.7197690863774
GONDIA,2020-11-01,425,206.84750640142005,85.52496500931662
GONDIA,2020-12-01,365,167.57558098191987,86.29381761835366
GONDIA,2021-01-01,314,177.64364337413554,86.24487797891192
GONDIA,2021-02-01,254,206.84991327276077,86.73130201958071
GONDIA,2021-03-01,336,237.0597420596894,86.73577292822209
HINGOLI,2020-07-01,138.0,142.9139407100555,56.68223832436074
HINGOLI,2020-08-01,86.0,162.14759564137728,55.9406937348003
HINGOLI,2020-09-01,165.0,129.74980418895686,54.494326832041445
HINGOLI,2020-10-01,164.0,179.74196826525545,57.66014397807486
HINGOLI,2020-11-01,125.0,157.37493097914603,58.73123833979461
HINGOLI,2020-12-01,79.0,150.73784345293768,57.77231149910903
HINGOLI,2021-01-01,296.0,137.15868892583777,57.42899525854011
HINGOLI,2021-02-01,102.0,235.4802120390742,68.11302242261522
HINGOLI,2021-03-01,126.0,104.6994399334149,65.8484239201928
JALGAON,2020-07-01,244.0,333.57044835655626,103.45918960163775
JALGAON,2020-08-01,292.0,296.5916991420802,95.56216941795313
JALGAON,2020-09-01,362.0,295.4912778039363,94.75397193060616
JALGAON,2020-10-01,415.0,309.27220636594996,94.9104298610895
JALGAON,2020-11-01,469.0,332.5250498801224,98.83942022804982
JALGAON,2020-12-01,593.0,362.6896062279101,104.87378982246946
JALGAON,2021-01-01,340.0,407.3069975794407,115.03392600388487
JALGAON,2021-02-01,239.0,397.58024315902446,114.61357295807241
JALGAON,2021-03-01,243.0,335.4924265320147,113.25394659224877
JALNA,2020-07-01,260.0,243.71311894007488,122.24628620990082
JALNA,2020-08-01,218.0,251.64130432889087,123.23562150033513
JALNA,2020-09-01,164.0,248.65638889897645,123.43997543193625
JALNA,2020-10-01,226.0,246.2167036649145,122.8677450938365
JALNA,2020-11-01,211.0,253.32343359790354,123.64408045530936
JALNA,2020-12-01,163.0,247.60305990030085,122.93462769773316
JALNA,2021-01-01,184.0,243.90716565333997,122.2949391860771
JALNA,2021-02-01,166.0,247.1627563325645,122.51158346954608
JALNA,2021-03-01,149.0,242.09625135644737,121.80144454558743
KOLHAPUR,2020-07-01,383.0,378.2121445407894,59.769365933521094
KOLHAPUR,2020-08-01,292.0,378.12580146992616,59.66786622723159
KOLHAPUR,2020-09-01,390.0,378.1085177220832,59.65528675927741
KOLHAPUR,2020-10-01,332.0,378.1137954832684,59.67491248030299
KOLHAPUR,2020-11-01,381.0,378.1540408371692,59.654681564711964
KOLHAPUR,2020-12-01,365.0,378.0976067376189,59.65275910242487
KOLHAPUR,2021-01-01,395.0,378.17606396030385,59.711577462559816
KOLHAPUR,2021-02-01,621.0,378.1538562122667,59.71636000131918
KOLHAPUR,2021-03-01,408.0,378.3767477282007,60.05321975177596
LATUR,2020-07-01,345.0,294.2725445919989,81.0988671696946
LATUR,2020-08-01,387.0,294.3111010832772,82.14091052892888
LATUR,2020-09-01,426.0,295.2622901481651,82.95379870936895
LATUR,2020-10-01,448.0,296.10663203634175,83.68699261807016
LATUR,2020-11-01,462.0,297.75205936335493,84.59667049832717
LATUR,2020-12-01,367.0,298.8148602039306,85.91280845714137
LATUR,2021-01-01,570.0,296.56974756334347,85.66421422411945
LATUR,2021-02-01,322.0,301.7050465256376,87.73007711594295
LATUR,2021-03-01,401.0,294.48462708989297,86.36339854844779
MUMBAI,2020-07-01,513,625.5718559777721,244.51683254842507
MUMBAI,2020-08-01,579,594.4816555218364,244.5455469413368
MUMBAI,2020-09-01,683,557.3882086404969,243.4280085088796
MUMBAI,2020-10-01,763,520.3671715535729,243.4423592901225
MUMBAI,2020-11-01,583,485.037847354862,243.4369387015727
MUMBAI,2020-12-01,934,448.90594774995566,243.44984375285568
MUMBAI,2021-01-01,474,410.80650541420835,243.60523959109463
MUMBAI,2021-02-01,543,375.7662617376584,243.867308512427
MUMBAI,2021-03-01,484,338.7049403328036,243.86624108940373
NAGPUR,2020-07-01,617.0,778.0454798658809,222.64947867584894
NAGPUR,2020-08-01,638.0,807.7071911611159,223.59080964220053
NAGPUR,2020-09-01,488.0,805.6498268088063,225.61467349743526
NAGPUR,2020-10-01,603.0,724.7382692106333,224.46176984454996
NAGPUR,2020-11-01,560.0,718.4949781374495,226.9219123379984
NAGPUR,2020-12-01,819.0,736.8414632611864,225.81667252992554
NAGPUR,2021-01-01,599.0,870.7152125231219,231.2482241782071
NAGPUR,2021-02-01,374.0,826.2203708563454,230.4966165289705
NAGPUR,2021-03-01,416.0,679.2577352133821,226.57434438633217
NANDED,2020-07-01,261.0,376.16483951986754,88.73589448740223
NANDED,2020-08-01,400.0,365.80174214563664,86.49067046024324
NANDED,2020-09-01,435.0,415.45165296412176,96.68367438020871
NANDED,2020-10-01,391.0,438.9742555389216,99.90845657999976
NANDED,2020-11-01,412.0,409.13895771600346,98.70624568175235
NANDED,2020-12-01,334.0,389.7909608644605,104.80848035477283
NANDED,2021-01-01,287.0,357.67912159613434,101.1993492389901
