district,date,actual,forecast,residual
AURANGABAD,2021-03-01,489,403.32236297562594,85.67763702437406
BEED,2020-07-01,465.0,515.3613247486879,-50.361324748687935
BEED,2020-08-01,554.0,421.4450211097865,132.55497889021348
BEED,2020-09-01,485.0,500.4418962569047,-15.441896256904727
BEED,2020-10-01,495.0,445.98932075112015,49.01067924887985
BEED,2020-11-01,472.0,477.2901200355438,-5.290120035543794
BEED,2020-12-01,561.0,447.1126646375711,113.88733536242893
BEED,2021-01-01,439.0,488.39966945688485,-49.39966945688485
BEED,2021-02-01,414.0,428.2818832146613,-14.28188321466132
BEED,2021-03-01,439.0,445.36239045546284,-6.362390455462844
BHANDARA,2020-07-01,267.0,274.1346675614218,-7.134667561421793
BHANDARA,2020-08-01,323.0,285.58434619793206,37.415653802067936
BHANDARA,2020-09-01,344.0,317.6341277572035,26.365872242796513
BHANDARA,2020-10-01,397.0,325.504232779021,71.49576722097902
BHANDARA,2020-11-01,285.0,352.4921988528691,-67.49219885286908
BHANDARA,2020-12-01,316.0,273.42300489175045,42.57699510824955
BHANDARA,2021-01-01,194.0,295.83829519821785,-101.83829519821785
BHANDARA,2021-02-01,173.0,226.2453769844116,-53.24537698441159
BHANDARA,2021-03-01,225.0,217.8535832858402,7.1464167141598125
BULDHANA,2020-07-01,186.0,209.5271890421908,-23.5271890421908
BULDHANA,2020-08-01,211.0,224.60913892258225,-13.609138922582247
BULDHANA,2020-09-01,266.0,223.20518441391118,42.794815586088816
BULDHANA,2020-10-01,280.0,260.9225459394032,19.07745406059678
BULDHANA,2020-11-01,328.0,274.2552210773953,53.74477892260472
BULDHANA,2020-12-01,268.0,274.0823301065329,-6.082330106532879
BULDHANA,2021-01-01,168.0,258.0100199415973,-90.0100199415973
BULDHANA,2021-02-01,139.0,171.23479858791544,-32.234798587915435
BULDHANA,2021-03-01,195.0,152.29491297301217,42.705087026987826
CHANDRAPUR,2020-07-01,445,327.1381121745323,117.8618878254677
CHANDRAPUR,2020-08-01,502,301.5932394344217,200.40676056557828
CHANDRAPUR,2020-09-01,592,266.6432685490711,325.3567314509289
CHANDRAPUR,2020-10-01,628,219.60080395354797,408.39919604645206
CHANDRAPUR,2020-11-01,562,184.87347655242633,377.1265234475737
CHANDRAPUR,2020-12-01,467,171.49376901617535,295.50623098382465
CHANDRAPUR,2021-01-01,385,180.24834285444018,204.75165714555982
CHANDRAPUR,2021-02-01,422,200.13590413890705,221.86409586109295
CHANDRAPUR,2021-03-01,385,199.7508423526325,185.2491576473675
DHULE,2020-07-01,106.0,317.52762476719505,-211.52762476719505
DHULE,2020-08-01,142.0,247.17020210195258,-105.17020210195258
DHULE,2020-09-01,210.0,279.736014239581,-69.73601423958098
DHULE,2020-10-01,167.0,317.8147500368368,-150.8147500368368
DHULE,2020-11-01,356.0,284.5677034404383,71.43229655956168
DHULE,2020-12-01,294.0,391.24560611874386,-97.24560611874386
DHULE,2021-01-01,398.0,336.2918825255332,61.7081174744668
DHULE,2021-02-01,333.0,393.49044062320894,-60.49044062320894
DHULE,2021-03-01,368.0,347.74302281512456,20.25697718487544
GADCHIROLI,2020-07-01,294,320.7291529410388,-26.72915294103882
GADCHIROLI,2020-08-01,439,322.6061367184035,116.39386328159651
GADCHIROLI,2020-09-01,482,331.8845833839125,150.1154166160875
GADCHIROLI,2020-10-01,431,351.30825056353456,79.69174943646544
GADCHIROLI,2020-11-01,434,345.46034562069764,88.53965437930236
GADCHIROLI,2020-12-01,399,338.89466975001045,60.10533024998955
GADCHIROLI,2021-01-01,360,337.8662332685243,22.133766731475703
GADCHIROLI,2021-02-01,235,330.5933287784447,-95.59332877844469
GADCHIROLI,2021-03-01,272,316.4993375561672,-44.49933755616718
GONDIA,2020-07-01,335,214.18520776151541,120.81479223848459
GONDIA,2020-08-01,304,183.59299341609375,120.40700658390625
GONDIA,2020-09-01,282,208.75163320860918,73.24836679139082
GONDIA,2020-10-01,335,237.49252779859518,97.50747220140482
GONDIA,2020-11-01,425,205.57211078375735,219.42788921624265
GONDIA,2020-12-01,365,160.85248284949856,204.14751715050144
GONDIA,2021-01-01,314,203.45005583048876,110.54994416951124
GONDIA,2021-02-01,254,248.77454162888029,5.225458371119714
GONDIA,2021-03-01,336,259.35319158702816,76.64680841297184
HINGOLI,2020-07-01,138.0,135.00124172145007,2.9987582785499285
HINGOLI,2020-08-01,86.0,161.5844590783496,-75.5844590783496
HINGOLI,2020-09-01,165.0,112.93925597130205,52.060744028697954
HINGOLI,2020-10-01,164.0,185.94516086951876,-21.94516086951876
HINGOLI,2020-11-01,125.0,150.4486059743325,-25.44860597433251
HINGOLI,2020-12-01,79.0,140.75541152394194,-61.755411523941945
HINGOLI,2021-01-01,296.0,125.53274216415095,170.46725783584907
HINGOLI,2021-02-01,102.0,265.33854456766744,-163.33854456766744
HINGOLI,2021-03-01,126.0,68.68053483569406,57.31946516430594
JALGAON,2020-07-01,244.0,303.3523831169707,-59.352383116970714
JALGAON,2020-08-01,292.0,270.1042920092132,21.895707990786775
JALGAON,2020-09-01,362.0,265.843561958553,96.15643804144702
JALGAON,2020-10-01,415.0,298.8704824759609,116.1295175240391
JALGAON,2020-11-01,469.0,339.15491821015246,129.84508178984754
JALGAON,2020-12-01,593.0,374.52296707225025,218.47703292774975
JALGAON,2021-01-01,340.0,426.91381717549007,-86.91381717549007
JALGAON,2021-02-01,239.0,410.82325514934115,-171.82325514934115
JALGAON,2021-03-01,243.0,300.2831773552798,-57.283177355279804
JALNA,2020-07-01,260.0,224.92033174462097,35.07966825537903
JALNA,2020-08-01,218.0,232.9288842724761,-14.928884272476097
JALNA,2020-09-01,164.0,228.51278508898662,-64.51278508898662
JALNA,2020-10-01,226.0,229.6953558671174,-3.6953558671173994
